numero_estacion,direccion
244,LAGO VICTORIA-MIGUEL DE CERVANTES SAAVEDRA
245,LAGO ONEGA-AV. EJÉRCITO NACIONAL
246,LEIBNITZ-THIERS
247,HERSCHEL-ROUSSEAU
248,SHAKESPEARE-LAFAYETTE
249,SHAKESPEARE-DARWIN
250,DARWIN-MARIANO ESCOBEDO
251,GOETHE-DARWIN
252,VÍCTOR HUGO-SHAKESPEARE
253,DANTE-TOLSTOI
254,ALFONSO HERRERA-MIGUEL SHULTZ
255,JOSÉ ROSAS MORENO-GUILLERMO PRIETO
256,GÓMEZ FARÍAS-SADI CARNOT
257,MANUEL MARIA CONTRERAS-VILLALONGIN
258,CIRCUITO INTERIOR-JUAN ESCUTIA
259,TÓMAS ALVA EDISON-PONCIANO ARRIAGA
260,AV. JUÁREZ-BALDERAS
261,PASEO DE LA REFORMA-RÍO DE LA PLATA
262,REPÚBLICA DE CUBA-REPÚBLICA DE BRASIL
263,SADI CARNOT - GÓMEZ FARIAS
264-275,HÉROES FERROCARRILEROS - JESÚS GARCIA
265,MINA - JESÚS GARCÍA
266-267,JESÚS GARCÍA - CARLOS J. MENESES
268-269,LUIS DONALDO COLOSIO - AV. JESÚS GARCÍA
270,DE LA REPÚBLICA-PONCIANO ARRIAGA
271-272,JESÚS GARCÍA - CARLOS J. MENESES
273-274,LUIS DONALDO COLOSIO - AV. JESÚS GARCÍA
276,ANAXÁGORAS-OBRERO MUNDIAL
277,PROLONGACIÓN TONALÁ-OBRERO MUNDIAL
278,MIER Y PESADO-OBRERO MUNDIAL
279,LA MORENA-PROVIDENCIA
280,ANAXÁGORAS-OBRERO MUNDIAL
281,PITÁGORAS-LA MORENA
282,LA MORENA-EJE 2 PONIENTE GABRIEL MANCERA
283,AV. COYOACÁN-RAFAEL DONDÉ
284,DAKOTA-VERMONT
285,12 DE OCTUBRE-MINERÍA
286,13 DE SEPTIEMBRE-AVENIDA PATRIOTISMO
287,13 DE SEPTIEMBRE-PUENTE DE LA MORENA
288,11 DE ABRIL-AVENIDA 2
290,YOSEMITE-COLORADO
291,MAGDALENA-DIVISIÓN DEL NORTE
292,ADOLFO PRIETO-EJE 4 SUR XOLA
293,MIER Y PESADO-EJE 4 SUR XOLA
294,NICOLÁS SAN JUAN-EJE 4 SUR XOLA
295,ANAXÁGORAS-EJE 4 SUR XOLA
296,DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN
297,DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN
298,ROMERO DE TERREROS-GABRIEL MANCERA
299,ROMERO DE TERREROS-MIER Y PESADO
300,PROVIDENCIA -LUZ SAVIÑÓN
301,LUZ SAVIÑÓN-MAGDALENA
302,LUZ SAVIÑÓN-MAGDALENA
303,MONTECITO-AV. INSURGENTES
304,MONTECITO-DAKOTA
305,AVENIDA DEL PARQUE-ARIZONA
306,DAKOTA-MINNESOTA
307,MINNESOTA-DAKOTA
308,NUEVA YORK-ARIZONA
309,PENSILVANIA-ARIZONA
310,CALLE 1-AV. PATRIOTISMO
312,AVENIDA 2-CALLE 7
313,PENSILVANIA-OKLAHOMA
314,NUEVA YORK-LOUISIANA
315,ALABAMA-MONTANA
316,SAN FRANCISCO-CONCEPCIÓN BEISTEGUI
317,AVENIDA COYOACÁN-TORRES ADALID
318,LUZ SAVIÑÓN-AMORES
319,DIAGONAL SAN ANTONIO-LUZ SAVIÑÓN
320,ENRIQUE RÉBSAMEN-LUZ SAVIÑÓN
321,TORRES ADALID-ANAXÁGORAS
322,HERIBERTO FRÍAS-CONCEPCIÓN BEISTEGUI
323,CONCEPCIÓN BEISTEGUI-GABRIEL MANCERA
324,AMORES-AVENIDA EUGENIA
325,PROVIDENCIA -AVENIDA DEL VALLE
326,EUGENIA-NEBRASKA
327,GEORGIA -PENSILVANIA
328,AVENIDA 1-CALLE 7
329,CALLE 13-AVENIDA 1
330,CALLE 15-AVENIDA PATRIOTISMO
331,AVENIDA 2-CALLE 17
332,CALLE 27-AVENIDA 3
333,GEORGIA-CAROLINA
334,NUEVA YORK-AV. INSURGENTES
335,MAGDALENA-AMEYALCO
336,SAN BORJA-CDA. DR. J. BARTOLACHE
337,SAN BORJA-MARTÍN MENDALDE
338,NICOLÁS SAN JUAN-SAN BORJA
339,ENRIQUE RÉBSAMEN-AVENIDA EUGENIA
340,ANAXÁGORAS-AVENIDA EUGENIA
341,SAN BORJA-AVENIDA CUAUHTÉMOC
342,PITÁGORAS-AV. DIVISIÓN DEL NORTE
343,ENRIQUE RÉBSAMEN-DIVISIÓN DEL NORTE
345,PATRICIO SANZ - MIRAFLORES
346,SAN FRANCISCO-SANTA MARGARITA
347,PENNSYLVANIA-MAXIMINO AVILA CAMACHO
348,INDIANA-AVENIDA SAN ANTONIO
349,AUGUSTO RODIN-AVENIDA SAN ANTONIO
351,CALLE 27-AVENIDA REVOLUCIÓN
352,TINTORETO-GIORGIONE
353,CAROLINA-HOLBEIN
354,BOSTON-AV. INSURGENTES
355,CALIFORNIA-SACRAMENTO
356,MATÍAS ROMERO -ADOLFO PRIETO
357,MATÍAS ROMERO -AMORES
358,NICOLÁS SAN JUAN-MATIAS ROMERO
359,MATÍAS ROMERO -PESTALOZZI
360,HERIBERTO FRÍAS-MATIAS ROMERO
361,PORFIRIO DÍAZ-CAPULÍN
362,AUGUSTO RODIN-ALBERTO BALDERAS
363,HOLBEIN-PAULO UCELLO
365,HOLBEIN-AVENIDA REVOLUCIÓN
366,PORFIRIO DÍAZ-AUGUSTO RODIN
367,BOSTON -AUGUSTO RODIN
369,PORFIRIO DÍAZ-AV. INSURGENTES
370,TLACOQUEMÉCATL-AV. INSURGENTES
371,TLACOQUEMÉCATL-CAPULÍN
372,DR. ROBERTO GAYOL-TLACOQUEMÉCATL
373,PILARES-GABRIEL MANCERA
374,PITÁGORAS-PILARES
375,TENAYUCA-DIVISIÓN DEL NORTE
377,HERIBERTO FRÍAS-MIGUEL LAURENT
378,MIGUEL LAURENT-AMORES
380,MORAS-SAN LORENZO
381,SAN LORENZO-MANZANAS
384,EMPRESA-POUSSIN
385,POUSSIN-EMPRESA
386,POUSSIN-DONATELLO
387,CADIZ-EMPRESA
389,SANTANDER-FÉLIX CUEVAS
390-391,OSO-FÉLIX CUEVAS
392,PATRICIO SANZ-FÉLIX CUEVAS
393,ADOLFO PRIETO-FÉLIX CUEVAS
394,DR. ROBERTO GAYOL-FÉLIX CUEVAS
395,SAN LORENZO-MARTÍN MENDALDE
396,MARTIN MENDALDE-FELIX CUEVAS
397,SAN LORENZO-GABRIEL MANCERA
398,JUAN SÁNCHEZ AZCONA-FÉLIX CUEVAS
399,HERIBERTO FRÍAS-SAN LORENZO
401,SAN LORENZO-AVENIDA CUAUHTÉMOC
402,UXMAL-MUNICIPIO LIBRE
404,MIGUEL LAURENT-AVENIDA DIVISIÓN DEL NORTE
405,DIVISIÓN DEL NORTE-MUNICIPIO LIBRE
407,PROLONGACIÓN XOCHICALCO-GENERAL EMILIANO ZAPATA
409,AZORES - DIVISIÓN DEL NORTE
412,PARROQUIA-AVENIDA UNIVERSIDAD
413,PARROQUIA-AVENIDA COYOACÁN
414,PARROQUIA-JOSÉ IGNACIO BARTOLACHE
415,SAN FRANCISCO-PARROQUIA
416,RECREO-PARROQUIA
417,GOYA-AUGUSTO RODIN
419,ACTIPAN-CADIZ
420,MARÍA LUZ BRINGAS-OSO
421,MARÍA LUZ BRINGAS-OSO
422,BÚFALO-JOSÉ MARÍA RICO (EJE 8)
423,MORAS-JOSÉ MARÍA RICO (EJE 8)
424,AMORES-JOSÉ MARÍA RICO (EJE 8)
425,NICOLAS SAN JUAN-AVENIDA UNIVERSIDAD
427,AVENIDA MÉXICO-COYOACÁN-AV. POPOCATÉPETL (EJE 8)
428,PROLONGACIÓN UXMAL-AV. POPOCATÉPETL (EJE 8)
429,PIRINEOS-AV. POPOCATÉPETL (EJE 8)
430,TRIPOLI-AV. POPOCATÉPETL (EJE 8)
432,CARRILLO PUERTO-AVENIDA MÉXICO-COYOACAN
433,JOSE MARÍA OLLOQUI-LOPÉZ COTILLA
434,JOSE MARÍA OLLOQUI-AMORES
436,RODRÍGUEZ SARO-BÚFALO
437,MORAS-COMUNAL
438,ADOLFO PRIETO-JOSÉ MARÍA OLLOQUI
439,AMORES-AVENIDA COYOACÁN
440,MARTIN MENDALDE - M. LÓPEZ COTILLA
441,PUENTE XOCO-REAL DE MAYORAZGO
442,REAL DE MAYORAZGO - AVENIDA MÉXICO - COYOACÁN
443,BRUNO TRAVEN-GOLONDRINAS
444,GENERAL MANUEL RINCÓN-AGUSTÍN GUTIERREZ
445-446,RIFF-AVENIDA RÍO CHURUBUSCO
447,AGUSTÍN MELGAR-ZAMORA
448,DR. ANDRADE-ARCOS DE BELÉN
449,ACAPULCO-PUEBLA
450,RAMOS ARIZPE- AV MÉXICO TENOCHTITLAN
451,CAMPOS ELÍSEOS-GOLDSMITH
452,LEIBNITZ-AV. EJERCITO NACIONAL
453,PEDREGAL-TEAPA
454,MONTES URALES-MONTE PELVOUX
455,PEDREGAL-FERROCARRIL DE CUERNAVACA
456,ALPES-MONTES ESCANDINAVOS
457,AV. PRADO NORTE-EXPLANADA
458,MONTES URALES-VOLCÁN
459,VOLCÁN-MONTES URALES
460,JUAN VÁZQUEZ DE MELLA-HOMERO
461,PRESA DON MARTÍN-BOULEVARD MIGUEL DE CERVANTES SAAVEDRA
462,PRESA FALCÓN-PRESA DANXHÓ
463,LAGO ANDRÓMACO-LAGO ZURICH
464,MATEO ALEMÁN-PROLONGACIÓN MOLIERE
465,LAGO GINEBRA-LAGO WETTER
466,LAGO ONEGA-LAGO LADOGA
467,LAGO MAYOR-LAGO ALBERTO
468,LAGO XOCHIMILCO-AV. EJÉRCITO NACIONAL
469,BAHÍA DE LA CONCEPCIÓN-BAHÍA DE TODOS LOS SANTOS
470,BAHÍA DE LAS PALMAS-BAHÍA DE TODOS LOS SANTOS
471,BAHÍA DE CHACHALACAS-BAHÍA DE SANTA BÁRBARA
472,BAHÍA DE SANTA BÁRBARA-BAHÍA DE BALLENAS
473,BAHÍA DEL ESPÍRITU SANTO-BAHÍA DE BANDERAS
474,BAHÍA DE SAN HIPÓLITO-BAHÍA DEL ESPÍRITU SANTO
475,LAGO MURITZ-LAGO ALBERTO
476,LAGO COMO-LAGUNA DE MAYRÁN
477,LAGO ISEO-LAGUNA DE MAYRÁN
478,LAGUNA DE MAYRÁN-LAGO CHALCO
479,LAGO MURITZ-AV.MARINA NACIONAL
480,LAGO ISEO-AV. MARINA NACIONAL
481,LAGO GARDA - MARIANO ESCOBEDO
482,LAGO XOCHIMILCO - LAGUNA DE SAN CRISTÓBAL
483,COLEGIO SALESIANO - MARINA NACIONAL
484,LAGUNA MAYRAN - LAGO CUITZEO
485,LAGO DE PÁTZCUARO - MARINA NACIONAL
486,IZCOATL - CIRCUITO INTERIOR MELCHOR OCAMPO
487,NOPALTZIN - QUETZALCOATL
488,HUETZIN - CUITLÁHUAC
489,LAGO CHALCO - LAGUNA TAMIAHUA
490,LAGO GARDA - FFCC
491,COLEGIO SALESIANO - LAGO CATEMACO
492,LAGO CUITZEO - FELIPE CARRILLO PUERTO
493,LAGO TLÁHUAC - LAGUNA DE GUZMÁN
494,TLÁLOC - CALZADA MÉXICO TACUBA
495,AMADO NERVO - DE LOS MAESTROS
496,MAESTRO RURAL - JOSÉ PARRES
497,MANUEL CARPIO - PLAN DE AYALA
498,DE LOS MAESTROS - PLAN DE AGUA PRIETA
499,DE LOS MAESTROS - CALZADA DE LOS GALLOS
500,PLAN DE GUADALUPE /FERROCARRIL DE CUERNAVACA - JUAN SARABIA
501,PLAN DE GUADALUPE /FERROCARRIL DE CUERNAVACA - ELIGIO ANCONA
502,MAR MEDITERRÁNEO - CALLEJÓN DE LA ZANJA
503,NEXTITLA - MAR EGEO
504,MAR BLANCO - CALZADA MÉXICO TACUBA
505,MAR NEGRO - MARIANO ESCOBEDO
506,MAR MEDITERRÁNEO - MAR ARÁBIGO
507,MAR MEDITERRÁNEO - AZCAPOTZALCO
508,LIBERTAD-C. JOSÉ SÁNCHEZ TRUJILLO
509,JUÁREZ - VENECIA
510,EGIPTO - CALLE NORTE 79 A
511,PALESTINA - EGIPTO
512,CLAVERÍA - FLORESTA
513,AV. AQUILES SERDÁN - AV. INVIERNO
514,JOSÉ F. GUTIÉRREZ - INVIERNO
515,TEBAS-C. SALÓNICA
516,TEXCOCO - NILO
517,IGNACIO ALLENDE - CLAVERÍA
518,HELIÓPOLIS - NORTE 79A
519,PONIENTE 58 - CUITLÁHUAC
520,SALÓNICA - EJE 3 NORTE CAMARONES
521,YUCA - CLAVELINAS
522,PROL. NUECES - AV. CUITLAHUAC
523,TORONJIL - AV. CUITLAHUAC
524,MALVÓN - JUAN SARABIA
525,BOLDO - TILA
526,TORONJIL - MEJORANA
527,BOLDO - ALCANFORES
528,TLATILCO - AV. JARDÍN
529,AV PLAN DE SAN LUIS - CALLE CLAVELINAS
530,MEMBRILLO - CDA. NUECES
531,NORTE 67 - PONIENTE 44
532,AV. BIÓLOGO MAXIMINO MARTÍNEZ - CAMARONES
533,AV PLAN DE SAN LUIS - EULALIA GÚZMAN
534,TLATILCO - JAZMÍN
535,AV. JARDÍN - ORQUÍDEA
536,FRESNO - EULALIA GUZMÁN (EJE 2 NORTE)
537,FRESNO - CLAVEL
538,NOGAL - ELIGIO ANCONA
539,NARANJO - AV. RICARDO FLORES MAGON
